"","code","sppid","species","scinam","order","family"
"ALFL","ALFL","AlderFlycatcher","Alder Flycatcher","Empidonax alnorum","Passeriformes","Tyrannidae"
"AMAV","AMAV","AmericanAvocet","American Avocet","Recurvirostra americana","Charadriiformes","Recurvirostridae"
"AMBI","AMBI","AmericanBittern","American Bittern","Botaurus lentiginosus","Pelecaniformes","Ardeidae"
"AMCO","AMCO","AmericanCoot","American Coot","Fulica americana","Gruiformes","Rallidae"
"AMCR","AMCR","AmericanCrow","American Crow","Corvus brachyrhynchos","Passeriformes","Corvidae"
"AMGO","AMGO","AmericanGoldfinch","American Goldfinch","Spinus tristis","Passeriformes","Fringillidae"
"AMKE","AMKE","AmericanKestrel","American Kestrel","Falco sparverius","Falconiformes","Falconidae"
"AMPI","AMPI","AmericanPipit","American Pipit","Anthus rubescens","Passeriformes","Motacillidae"
"AMRE","AMRE","AmericanRedstart","American Redstart","Setophaga ruticilla","Passeriformes","Parulidae"
"AMRO","AMRO","AmericanRobin","American Robin","Turdus migratorius","Passeriformes","Turdidae"
"AMWI","AMWI","AmericanWigeon","American Wigeon","Anas americana","Anseriformes","Anatidae"
"ATSP","ATSP","AmericanTreeSparrow","American Tree Sparrow","Spizella arborea","Passeriformes","Emberizidae"
"ATTW","ATTW","AmericanThreetoedWoodpecker","American Three-toed Woodpecker","Picoides dorsalis","Piciformes","Picidae"
"BADO","BADO","BarredOwl","Barred Owl","Strix varia","Strigiformes","Strigidae"
"BAEA","BAEA","BaldEagle","Bald Eagle","Haliaeetus leucocephalus","Accipitriformes","Accipitridae"
"BAIS","BAIS","BairdsSparrow","Baird's Sparrow","Ammodramus bairdii","Passeriformes","Emberizidae"
"BANS","BANS","BankSwallow","Bank Swallow","Riparia riparia","Passeriformes","Hirundinidae"
"BAOR","BAOR","BaltimoreOriole","Baltimore Oriole","Icterus galbula","Passeriformes","Icteridae"
"BARS","BARS","BarnSwallow","Barn Swallow","Hirundo rustica","Passeriformes","Hirundinidae"
"BAWA","BAWA","BachmansWarbler","Bachman's Warbler","Vermivora bachmanii","Passeriformes","Parulidae"
"BAWW","BAWW","BlackAndWhiteWarbler","Black-and-white Warbler","Mniotilta varia","Passeriformes","Parulidae"
"BBCU","BBCU","BlackbilledCuckoo","Black-billed Cuckoo","Coccyzus erythropthalmus","Cuculiformes","Cuculidae"
"BBMA","BBMA","BlackbilledMagpie","Black-billed Magpie","Pica hudsonia","Passeriformes","Corvidae"
"BBPL","BBPL","BlackbelliedPlover","Black-bellied Plover","Pluvialis squatarola","Charadriiformes","Charadriidae"
"BBWA","BBWA","BaybreastedWarbler","Bay-breasted Warbler","Setophaga castanea","Passeriformes","Parulidae"
"BBWO","BBWO","BlackbackedWoodpecker","Black-backed Woodpecker","Picoides arcticus","Piciformes","Picidae"
"BCCH","BCCH","BlackcappedChickadee","Black-capped Chickadee","Poecile atricapillus","Passeriformes","Paridae"
"BCNH","BCNH","BlackcrownedNightHeron","Black-crowned Night-Heron","Nycticorax nycticorax","Pelecaniformes","Ardeidae"
"BEKI","BEKI","BeltedKingfisher","Belted Kingfisher","Megaceryle alcyon","Coraciiformes","Alcedinidae"
"BHCO","BHCO","BrownheadedCowbird","Brown-headed Cowbird","Molothrus ater","Passeriformes","Icteridae"
"BHGR","BHGR","BlackheadedGrosbeak","Black-headed Grosbeak","Pheucticus melanocephalus","Passeriformes","Cardinalidae"
"BHVI","BHVI","BlueheadedVireo","Blue-headed Vireo","Vireo solitarius","Passeriformes","Vireonidae"
"BLBW","BLBW","BlackburnianWarbler","Blackburnian Warbler","Setophaga fusca","Passeriformes","Parulidae"
"BLJA","BLJA","BlueJay","Blue Jay","Cyanocitta cristata","Passeriformes","Corvidae"
"BLPW","BLPW","BlackpollWarbler","Blackpoll Warbler","Setophaga striata","Passeriformes","Parulidae"
"BLTE","BLTE","BlackTern","Black Tern","Chlidonias niger","Charadriiformes","Laridae"
"BNST","BNST","BlackneckedStilt","Black-necked Stilt","Himantopus mexicanus","Charadriiformes","Recurvirostridae"
"BOBO","BOBO","Bobolink","Bobolink","Dolichonyx oryzivorus","Passeriformes","Icteridae"
"BOCH","BOCH","BorealChickadee","Boreal Chickadee","Poecile hudsonicus","Passeriformes","Paridae"
"BOGU","BOGU","BonapartesGull","Bonaparte's Gull","Chroicocephalus philadelphia","Charadriiformes","Laridae"
"BOOW","BOOW","BorealOwl","Boreal Owl","Aegolius funereus","Strigiformes","Strigidae"
"BOWA","BOWA","BohemianWaxwing","Bohemian Waxwing","Bombycilla garrulus","Passeriformes","Bombycillidae"
"BRBL","BRBL","BrewersBlackbird","Brewer's Blackbird","Euphagus cyanocephalus","Passeriformes","Icteridae"
"BRCR","BRCR","BrownCreeper","Brown Creeper","Certhia americana","Passeriformes","Certhiidae"
"BRSP","BRSP","BrewersSparrow","Brewer's Sparrow","Spizella breweri","Passeriformes","Emberizidae"
"BRTH","BRTH","BrownThrasher","Brown Thrasher","Toxostoma rufum","Passeriformes","Mimidae"
"BTBW","BTBW","BlackthroatedBlueWarbler","Black-throated Blue Warbler","Setophaga caerulescens","Passeriformes","Parulidae"
"BTNW","BTNW","BlackthroatedGreenWarbler","Black-throated Green Warbler","Setophaga virens","Passeriformes","Parulidae"
"BUFF","BUFF","Bufflehead","Bufflehead","Bucephala albeola","Anseriformes","Anatidae"
"BUOW","BUOW","BurrowingOwl","Burrowing Owl","Athene cunicularia","Strigiformes","Strigidae"
"BWHA","BWHA","BroadwingedHawk","Broad-winged Hawk","Buteo platypterus","Accipitriformes","Accipitridae"
"BWTE","BWTE","BluewingedTeal","Blue-winged Teal","Anas discors","Anseriformes","Anatidae"
"BWWA","BWWA","BluewingedWarbler","Blue-winged Warbler","Vermivora cyanoptera","Passeriformes","Parulidae"
"CACG","CACG","CacklingGoose","Cackling Goose","Branta hutchinsii","Anseriformes","Anatidae"
"CAGU","CAGU","CaliforniaGull","California Gull","Larus californicus","Charadriiformes","Laridae"
"CANG","CANG","CanadaGoose","Canada Goose","Branta canadensis","Anseriformes","Anatidae"
"CANV","CANV","Canvasback","Canvasback","Aythya valisineria","Anseriformes","Anatidae"
"CAVI","CAVI","CassinsVireo","Cassin's Vireo","Vireo cassinii","Passeriformes","Vireonidae"
"CAWA","CAWA","CanadaWarbler","Canada Warbler","Cardellina canadensis","Passeriformes","Parulidae"
"CCLO","CCLO","ChestnutcollaredLongspur","Chestnut-collared Longspur","Calcarius ornatus","Passeriformes","Calcariidae"
"CCSP","CCSP","ClaycoloredSparrow","Clay-colored Sparrow","Spizella pallida","Passeriformes","Emberizidae"
"CEDW","CEDW","CedarWaxwing","Cedar Waxwing","Bombycilla cedrorum","Passeriformes","Bombycillidae"
"CHIK","CHIK","DomesticChicken","Domestic Chicken","Gallus Gallus","Galliformes","Phasianidae"
"CHSP","CHSP","ChippingSparrow","Chipping Sparrow","Spizella passerina","Passeriformes","Emberizidae"
"CLNU","CLNU","ClarksNutcracker","Clark's Nutcracker","Nucifraga columbiana","Passeriformes","Corvidae"
"CLSW","CLSW","CliffSwallow","Cliff Swallow","Petrochelidon pyrrhonota","Passeriformes","Hirundinidae"
"CMWA","CMWA","CapeMayWarbler","Cape May Warbler","Setophaga tigrina","Passeriformes","Parulidae"
"COGO","COGO","CommonGoldeneye","Common Goldeneye","Bucephala clangula","Anseriformes","Anatidae"
"COGR","COGR","CommonGrackle","Common Grackle","Quiscalus quiscula","Passeriformes","Icteridae"
"COLO","COLO","CommonLoon","Common Loon","Gavia immer","Gaviiformes","Gaviidae"
"COME","COME","CommonMerganser","Common Merganser","Mergus merganser","Anseriformes","Anatidae"
"CONI","CONI","CommonNighthawk","Common Nighthawk","Chordeiles minor","Caprimulgiformes","Caprimulgidae"
"CONW","CONW","ConnecticutWarbler","Connecticut Warbler","Oporornis agilis","Passeriformes","Parulidae"
"CORA","CORA","CommonRaven","Common Raven","Corvus corax","Passeriformes","Corvidae"
"CORE","CORE","CommonRedpoll","Common Redpoll","Acanthis flammea","Passeriformes","Fringillidae"
"COTE","COTE","CommonTern","Common Tern","Sterna hirundo","Charadriiformes","Laridae"
"COYE","COYE","CommonYellowthroat","Common Yellowthroat","Geothlypis trichas","Passeriformes","Parulidae"
"CSWA","CSWA","ChestnutsidedWarbler","Chestnut-sided Warbler","Setophaga pensylvanica","Passeriformes","Parulidae"
"DEJU","DEJU","DarkeyedJunco","Dark-eyed Junco","Junco hyemalis","Passeriformes","Emberizidae"
"DOWO","DOWO","DownyWoodpecker","Downy Woodpecker","Picoides pubescens","Piciformes","Picidae"
"DUFL","DUFL","DuskyFlycatcher","Dusky Flycatcher","Empidonax oberholseri","Passeriformes","Tyrannidae"
"EAGR","EAGR","EaredGrebe","Eared Grebe","Podiceps nigricollis","Podicipediformes","Podicipedidae"
"EAKI","EAKI","EasternKingbird","Eastern Kingbird","Tyrannus tyrannus","Passeriformes","Tyrannidae"
"EAME","EAME","EasternMeadowlark","Eastern Meadowlark","Sturnella magna","Passeriformes","Icteridae"
"EAPH","EAPH","EasternPhoebe","Eastern Phoebe","Sayornis phoebe","Passeriformes","Tyrannidae"
"EUCD","EUCD","EurasianCollaredDove","Eurasian Collared-Dove","Streptopelia decaocto","Columbiformes","Columbidae"
"EUDO","EUDO","EurasianDotterel","Eurasian Dotterel","Charadrius morinellus","Charadriiformes","Charadriidae"
"EUST","EUST","EuropeanStarling","European Starling","Sturnus vulgaris","Passeriformes","Sturnidae"
"EVGR","EVGR","EveningGrosbeak","Evening Grosbeak","Coccothraustes vespertinus","Passeriformes","Fringillidae"
"FOSP","FOSP","FoxSparrow","Fox Sparrow","Passerella iliaca","Passeriformes","Emberizidae"
"FOTE","FOTE","ForstersTern","Forster's Tern","Sterna forsteri","Charadriiformes","Laridae"
"FRGU","FRGU","FranklinsGull","Franklin's Gull","Leucophaeus pipixcan","Charadriiformes","Laridae"
"GADW","GADW","Gadwall","Gadwall","Anas strepera","Anseriformes","Anatidae"
"GBHE","GBHE","GreatBlueHeron","Great Blue Heron","Ardea herodias","Pelecaniformes","Ardeidae"
"GCKI","GCKI","GoldencrownedKinglet","Golden-crowned Kinglet","Regulus satrapa","Passeriformes","Regulidae"
"GCRF","GCRF","GraycrownedRosyFinch","Gray-crowned Rosy-Finch","Leucosticte tephrocotis","Passeriformes","Fringillidae"
"GCSP","GCSP","GoldencrownedSparrow","Golden-crowned Sparrow","Zonotrichia atricapilla","Passeriformes","Emberizidae"
"GCTH","GCTH","GraycheekedThrush","Gray-cheeked Thrush","Catharus minimus","Passeriformes","Turdidae"
"GGOW","GGOW","GreatGrayOwl","Great Gray Owl","Strix nebulosa","Strigiformes","Strigidae"
"GHOW","GHOW","GreatHornedOwl","Great Horned Owl","Bubo virginianus","Strigiformes","Strigidae"
"GRAJ","GRAJ","GrayJay","Gray Jay","Perisoreus canadensis","Passeriformes","Corvidae"
"GRAP","GRAP","GrayPartridge","Gray Partridge","Perdix perdix","Galliformes","Phasianidae"
"GRCA","GRCA","GrayCatbird","Gray Catbird","Dumetella carolinensis","Passeriformes","Mimidae"
"GRSC","GRSC","GreaterScaup","Greater Scaup","Aythya marila","Anseriformes","Anatidae"
"GRSP","GRSP","GrasshopperSparrow","Grasshopper Sparrow","Ammodramus savannarum","Passeriformes","Emberizidae"
"GRYE","GRYE","GreaterYellowlegs","Greater Yellowlegs","Tringa melanoleuca","Charadriiformes","Scolopacidae"
"GWFG","GWFG","GreaterWhitefrontedGoose","Greater White-fronted Goose","Anser albifrons","Anseriformes","Anatidae"
"GWTE","GWTE","GreenwingedTeal","Green-winged Teal","Anas crecca","Anseriformes","Anatidae"
"HAFL","HAFL","HammondsFlycatcher","Hammond's Flycatcher","Empidonax hammondii","Passeriformes","Tyrannidae"
"HASP","HASP","HarrissSparrow","Harris's Sparrow","Zonotrichia querula","Passeriformes","Emberizidae"
"HAWO","HAWO","HairyWoodpecker","Hairy Woodpecker","Picoides villosus","Piciformes","Picidae"
"HERG","HERG","HerringGull","Herring Gull","Larus argentatus","Charadriiformes","Laridae"
"HETH","HETH","HermitThrush","Hermit Thrush","Catharus guttatus","Passeriformes","Turdidae"
"HOFI","HOFI","HouseFinch","House Finch","Carpodacus mexicanus","Passeriformes","Fringillidae"
"HOGR","HOGR","HornedGrebe","Horned Grebe","Podiceps auritus","Podicipediformes","Podicipedidae"
"HOLA","HOLA","HornedLark","Horned Lark","Eremophila alpestris","Passeriformes","Alaudidae"
"HOME","HOME","HoodedMerganser","Hooded Merganser","Lophodytes cucullatus","Anseriformes","Anatidae"
"HOSP","HOSP","HouseSparrow","House Sparrow","Passer domesticus","Passeriformes","Passeridae"
"HOWR","HOWR","HouseWren","House Wren","Troglodytes aedon","Passeriformes","Troglodytidae"
"KILL","KILL","Killdeer","Killdeer","Charadrius vociferus","Charadriiformes","Charadriidae"
"LALO","LALO","LaplandLongspur","Lapland Longspur","Calcarius lapponicus","Passeriformes","Calcariidae"
"LARB","LARB","LarkBunting","Lark Bunting","Calamospiza melanocorys","Passeriformes","Emberizidae"
"LASP","LASP","LarkSparrow","Lark Sparrow","Chondestes grammacus","Passeriformes","Emberizidae"
"LAZB","LAZB","LazuliBunting","Lazuli Bunting","Passerina amoena","Passeriformes","Cardinalidae"
"LBCU","LBCU","LongbilledCurlew","Long-billed Curlew","Numenius americanus","Charadriiformes","Scolopacidae"
"LCSP","LCSP","LeContesSparrow","Le Conte's Sparrow","Ammodramus leconteii","Passeriformes","Emberizidae"
"LEFL","LEFL","LeastFlycatcher","Least Flycatcher","Empidonax minimus","Passeriformes","Tyrannidae"
"LEOW","LEOW","LongearedOwl","Long-eared Owl","Asio otus","Strigiformes","Strigidae"
"LESC","LESC","LesserScaup","Lesser Scaup","Aythya affinis","Anseriformes","Anatidae"
"LEYE","LEYE","LesserYellowlegs","Lesser Yellowlegs","Tringa flavipes","Charadriiformes","Scolopacidae"
"LISP","LISP","LincolnsSparrow","Lincoln's Sparrow","Melospiza lincolnii","Passeriformes","Emberizidae"
"LOSH","LOSH","LoggerheadShrike","Loggerhead Shrike","Lanius ludovicianus","Passeriformes","Laniidae"
"LTDU","LTDU","LongtailedDuck","Long-tailed Duck","Clangula hyemalis","Anseriformes","Anatidae"
"MAGO","MAGO","MarbledGodwit","Marbled Godwit","Limosa fedoa","Charadriiformes","Scolopacidae"
"MALL","MALL","Mallard","Mallard","Anas platyrhynchos","Anseriformes","Anatidae"
"MAWA","MAWA","MagnoliaWarbler","Magnolia Warbler","Setophaga magnolia","Passeriformes","Parulidae"
"MAWR","MAWR","MarshWren","Marsh Wren","Cistothorus palustris","Passeriformes","Troglodytidae"
"MCLO","MCLO","McCownsLongspur","McCown's Longspur","Rhynchophanes mccownii","Passeriformes","Calcariidae"
"MEGU","MEGU","MewGull","Mew Gull","Larus canus","Charadriiformes","Laridae"
"MERL","MERL","Merlin","Merlin","Falco columbarius","Falconiformes","Falconidae"
"MGWA","MGWA","MacgillivrayWarbler","MacGillivray's Warbler","Geothlypis tolmiei","Passeriformes","Parulidae"
"MOBL","MOBL","MountainBluebird","Mountain Bluebird","Sialia currucoides","Passeriformes","Turdidae"
"MOCH","MOCH","MountainChickadee","Mountain Chickadee","Poecile gambeli","Passeriformes","Paridae"
"MODO","MODO","MourningDove","Mourning Dove","Zenaida macroura","Columbiformes","Columbidae"
"MOTR","MOTR","MountainTrogon","Mountain Trogon","Trogon mexicanus","Trogoniformes","Trogonidae"
"MOWA","MOWA","MourningWarbler","Mourning Warbler","Geothlypis philadelphia","Passeriformes","Parulidae"
"MYWA","MYWA","MyrtleWarbler","Myrtle Warbler","Setophaga coronata coronata","Passeriformes","Parulidae"
"NAWA","NAWA","NashvilleWarbler","Nashville Warbler","Oreothlypis ruficapilla","Passeriformes","Parulidae"
"NESP","NESP","NelsonsSparrow","Nelson's Sparrow","Ammodramus nelsoni","Passeriformes","Emberizidae"
"NHOW","NHOW","NorthernHawkOwl","Northern Hawk Owl","Surnia ulula","Strigiformes","Strigidae"
"NOFL","NOFL","NorthernFlicker","Northern Flicker","Colaptes auratus","Piciformes","Picidae"
"NOGO","NOGO","NorthernGoshawk","Northern Goshawk","Accipiter gentilis","Accipitriformes","Accipitridae"
"NOMO","NOMO","NorthernMockingbird","Northern Mockingbird","Mimus polyglottos","Passeriformes","Mimidae"
"NOPI","NOPI","NorthernPintail","Northern Pintail","Anas acuta","Anseriformes","Anatidae"
"NOPO","NOPO","NorthernPygmyOwl","Northern Pygmy-Owl","Glaucidium gnoma","Strigiformes","Strigidae"
"NOWA","NOWA","NorthernWaterthrush","Northern Waterthrush","Parkesia noveboracensis","Passeriformes","Parulidae"
"NRWS","NRWS","NorthernRoughwingedSwallow","Northern Rough-winged Swallow","Stelgidopteryx serripennis","Passeriformes","Hirundinidae"
"NSHO","NSHO","NorthernShoveler","Northern Shoveler","Anas clypeata","Anseriformes","Anatidae"
"NSHR","NSHR","NorthernShrike","Northern Shrike","Lanius excubitor","Passeriformes","Laniidae"
"NSWO","NSWO","NorthernSawwhetOwl","Northern Saw-whet Owl","Aegolius acadicus","Strigiformes","Strigidae"
"OCWA","OCWA","OrangecrownedWarbler","Orange-crowned Warbler","Oreothlypis celata","Passeriformes","Parulidae"
"OSFL","OSFL","OlivesidedFlycatcher","Olive-sided Flycatcher","Contopus cooperi","Passeriformes","Tyrannidae"
"OSPR","OSPR","Osprey","Osprey","Pandion haliaetus","Accipitriformes","Pandionidae"
"OVEN","OVEN","Ovenbird","Ovenbird","Seiurus aurocapilla","Passeriformes","Parulidae"
"PAWA","PAWA","PalmWarbler","Palm Warbler","Setophaga palmarum","Passeriformes","Parulidae"
"PAWR","PAWR","PacificWren","Pacific Wren","Troglodytes pacificus","Passeriformes","Troglodytidae"
"PBGR","PBGR","PiedbilledGrebe","Pied-billed Grebe","Podilymbus podiceps","Podicipediformes","Podicipedidae"
"PEFA","PEFA","PeregrineFalcon","Peregrine Falcon","Falco peregrinus","Falconiformes","Falconidae"
"PHVI","PHVI","PhiladelphiaVireo","Philadelphia Vireo","Vireo philadelphicus","Passeriformes","Vireonidae"
"PIGR","PIGR","PineGrosbeak","Pine Grosbeak","Pinicola enucleator","Passeriformes","Fringillidae"
"PISI","PISI","PineSiskin","Pine Siskin","Spinus pinus","Passeriformes","Fringillidae"
"PIWA","PIWA","PineWarbler","Pine Warbler","Setophaga pinus","Passeriformes","Parulidae"
"PIWO","PIWO","PileatedWoodpecker","Pileated Woodpecker","Dryocopus pileatus","Piciformes","Picidae"
"PRFA","PRFA","PrairieFalcon","Prairie Falcon","Falco mexicanus","Falconiformes","Falconidae"
"PSFL","PSFL","PacificslopeFlycatcher","Pacific-slope Flycatcher","Empidonax difficilis","Passeriformes","Tyrannidae"
"PUFI","PUFI","PurpleFinch","Purple Finch","Carpodacus purpureus","Passeriformes","Fringillidae"
"PUMA","PUMA","PurpleMartin","Purple Martin","Progne subis","Passeriformes","Hirundinidae"
"RBGR","RBGR","RosebreastedGrosbeak","Rose-breasted Grosbeak","Pheucticus ludovicianus","Passeriformes","Cardinalidae"
"RBGU","RBGU","RingbilledGull","Ring-billed Gull","Larus delawarensis","Charadriiformes","Laridae"
"RBNU","RBNU","RedbreastedNuthatch","Red-breasted Nuthatch","Sitta canadensis","Passeriformes","Sittidae"
"RCKI","RCKI","RubycrownedKinglet","Ruby-crowned Kinglet","Regulus calendula","Passeriformes","Regulidae"
"RECR","RECR","RedCrossbill","Red Crossbill","Loxia curvirostra","Passeriformes","Fringillidae"
"REDH","REDH","Redhead","Redhead","Aythya americana","Anseriformes","Anatidae"
"REVI","REVI","RedeyedVireo","Red-eyed Vireo","Vireo olivaceus","Passeriformes","Vireonidae"
"RNDU","RNDU","RingneckedDuck","Ring-necked Duck","Aythya collaris","Anseriformes","Anatidae"
"RNEP","RNEP","RingneckedPheasant","Ring-necked Pheasant","Phasianus colchicus","Galliformes","Phasianidae"
"RNGR","RNGR","RedneckedGrebe","Red-necked Grebe","Podiceps grisegena","Podicipediformes","Podicipedidae"
"RNPH","RNPH","RedneckedPhalarope","Red-necked Phalarope","Phalaropus lobatus","Charadriiformes","Scolopacidae"
"RNSA","RNSA","RednapedSapsucker","Red-naped Sapsucker","Sphyrapicus nuchalis","Piciformes","Picidae"
"ROGO","ROGO","RosssGoose","Ross's Goose","Chen rossii","Anseriformes","Anatidae"
"ROPI","ROPI","RockPigeon","Rock Pigeon","Columba livia","Columbiformes","Columbidae"
"ROWR","ROWR","RockWren","Rock Wren","Salpinctes obsoletus","Passeriformes","Troglodytidae"
"RTHA","RTHA","RedtailedHawk","Red-tailed Hawk","Buteo jamaicensis","Accipitriformes","Accipitridae"
"RUBL","RUBL","RustyBlackbird","Rusty Blackbird","Euphagus carolinus","Passeriformes","Icteridae"
"RUDU","RUDU","RuddyDuck","Ruddy Duck","Oxyura jamaicensis","Anseriformes","Anatidae"
"RUGR","RUGR","RuffedGrouse","Ruffed Grouse","Bonasa umbellus","Galliformes","Phasianidae"
"RWBL","RWBL","RedwingedBlackbird","Red-winged Blackbird","Agelaius phoeniceus","Passeriformes","Icteridae"
"SACR","SACR","SandhillCrane","Sandhill Crane","Grus canadensis","Gruiformes","Gruidae"
"SAPH","SAPH","SaysPhoebe","Say's Phoebe","Sayornis saya","Passeriformes","Tyrannidae"
"SAVS","SAVS","SavannahSparrow","Savannah Sparrow","Passerculus sandwichensis","Passeriformes","Emberizidae"
"SBDO","SBDO","ShortbilledDowitcher","Short-billed Dowitcher","Limnodromus griseus","Charadriiformes","Scolopacidae"
"SEOW","SEOW","ShortearedOwl","Short-eared Owl","Asio flammeus","Strigiformes","Strigidae"
"SEPL","SEPL","SemipalmatedPlover","Semipalmated Plover","Charadrius semipalmatus","Charadriiformes","Charadriidae"
"SEWR","SEWR","SedgeWren","Sedge Wren","Cistothorus platensis","Passeriformes","Troglodytidae"
"SMLO","SMLO","SmithsLongspur","Smith's Longspur","Calcarius pictus","Passeriformes","Calcariidae"
"SNBU","SNBU","SnowBunting","Snow Bunting","Plectrophenax nivalis","Passeriformes","Calcariidae"
"SNGO","SNGO","SnowGoose","Snow Goose","Chen caerulescens","Anseriformes","Anatidae"
"SORA","SORA","Sora","Sora","Porzana carolina","Gruiformes","Rallidae"
"SOSA","SOSA","SolitarySandpiper","Solitary Sandpiper","Tringa solitaria","Charadriiformes","Scolopacidae"
"SOSP","SOSP","SongSparrow","Song Sparrow","Melospiza melodia","Passeriformes","Emberizidae"
"SPGR","SPGR","SpruceGrouse","Spruce Grouse","Falcipennis canadensis","Galliformes","Phasianidae"
"SPPI","SPPI","SpraguesPipit","Sprague's Pipit","Anthus spragueii","Passeriformes","Motacillidae"
"SPSA","SPSA","SpottedSandpiper","Spotted Sandpiper","Actitis macularius","Charadriiformes","Scolopacidae"
"SPTO","SPTO","SpottedTowhee","Spotted Towhee","Pipilo maculatus","Passeriformes","Emberizidae"
"SSHA","SSHA","SharpshinnedHawk","Sharp-shinned Hawk","Accipiter striatus","Accipitriformes","Accipitridae"
"STGR","STGR","SharptailedGrouse","Sharp-tailed Grouse","Tympanuchus phasianellus","Galliformes","Phasianidae"
"STJA","STJA","StellersJay","Steller's Jay","Cyanocitta stelleri","Passeriformes","Corvidae"
"SWHA","SWHA","SwainsonsHawk","Swainson's Hawk","Buteo swainsoni","Accipitriformes","Accipitridae"
"SWSP","SWSP","SwampSparrow","Swamp Sparrow","Melospiza georgiana","Passeriformes","Emberizidae"
"SWTH","SWTH","SwainsonsThrush","Swainson's Thrush","Catharus ustulatus","Passeriformes","Turdidae"
"TEWA","TEWA","TennesseeWarbler","Tennessee Warbler","Oreothlypis peregrina","Passeriformes","Parulidae"
"TOSO","TOSO","TownsendsSolitaire","Townsend's Solitaire","Myadestes townsendi","Passeriformes","Turdidae"
"TOWA","TOWA","TownsendsWarbler","Townsend's Warbler","Setophaga townsendi","Passeriformes","Parulidae"
"TRES","TRES","TreeSwallow","Tree Swallow","Tachycineta bicolor","Passeriformes","Hirundinidae"
"TRUS","TRUS","TrumpeterSwan","Trumpeter Swan","Cygnus buccinator","Anseriformes","Anatidae"
"TUSW","TUSW","TundraSwan","Tundra Swan","Cygnus columbianus","Anseriformes","Anatidae"
"UPSA","UPSA","UplandSandpiper","Upland Sandpiper","Bartramia longicauda","Charadriiformes","Scolopacidae"
"VATH","VATH","VariedThrush","Varied Thrush","Ixoreus naevius","Passeriformes","Turdidae"
"VEER","VEER","Veery","Veery","Catharus fuscescens","Passeriformes","Turdidae"
"VESP","VESP","VesperSparrow","Vesper Sparrow","Pooecetes gramineus","Passeriformes","Emberizidae"
"VGSW","VGSW","VioletgreenSwallow","Violet-green Swallow","Tachycineta thalassina","Passeriformes","Hirundinidae"
"VIRA","VIRA","VirginiaRail","Virginia Rail","Rallus limicola","Gruiformes","Rallidae"
"WAVI","WAVI","WarblingVireo","Warbling Vireo","Vireo gilvus","Passeriformes","Vireonidae"
"WBNU","WBNU","WhitebreastedNuthatch","White-breasted Nuthatch","Sitta carolinensis","Passeriformes","Sittidae"
"WCSP","WCSP","WhitecrownedSparrow","White-crowned Sparrow","Zonotrichia leucophrys","Passeriformes","Emberizidae"
"WEBL","WEBL","WesternBluebird","Western Bluebird","Sialia mexicana","Passeriformes","Turdidae"
"WEGR","WEGR","WesternGrebe","Western Grebe","Aechmophorus occidentalis","Podicipediformes","Podicipedidae"
"WEKI","WEKI","WesternKingbird","Western Kingbird","Tyrannus verticalis","Passeriformes","Tyrannidae"
"WEME","WEME","WesternMeadowlark","Western Meadowlark","Sturnella neglecta","Passeriformes","Icteridae"
"WETA","WETA","WesternTanager","Western Tanager","Piranga ludoviciana","Passeriformes","Cardinalidae"
"WEWP","WEWP","WesternWoodPewee","Western Wood-Pewee","Contopus sordidulus","Passeriformes","Tyrannidae"
"WHIM","WHIM","Whimbrel","Whimbrel","Numenius phaeopus","Charadriiformes","Scolopacidae"
"WIFL","WIFL","WillowFlycatcher","Willow Flycatcher","Empidonax traillii","Passeriformes","Tyrannidae"
"WILL","WILL","Willet","Willet","Tringa semipalmata","Charadriiformes","Scolopacidae"
"WIPH","WIPH","WilsonsPhalarope","Wilson's Phalarope","Phalaropus tricolor","Charadriiformes","Scolopacidae"
"WISA","WISA","WilliamsonsSapsucker","Williamson's Sapsucker","Sphyrapicus thyroideus","Piciformes","Picidae"
"WISN","WISN","WilsonsSnipe","Wilson's Snipe","Gallinago delicata","Charadriiformes","Scolopacidae"
"WIWA","WIWA","WilsonsWarbler","Wilson's Warbler","Cardellina pusilla","Passeriformes","Parulidae"
"WIWR","WIWR","WinterWren","Winter Wren","Troglodytes hiemalis","Passeriformes","Troglodytidae"
"WOTH","WOTH","WoodThrush","Wood Thrush","Hylocichla mustelina","Passeriformes","Turdidae"
"WTSP","WTSP","WhitethroatedSparrow","White-throated Sparrow","Zonotrichia albicollis","Passeriformes","Emberizidae"
"WWCR","WWCR","WhitewingedCrossbill","White-winged Crossbill","Loxia leucoptera","Passeriformes","Fringillidae"
"YBCH","YBCH","YellowbreastedChat","Yellow-breasted Chat","Icteria virens","Passeriformes","Parulidae"
"YBFL","YBFL","YellowbelliedFlycatcher","Yellow-bellied Flycatcher","Empidonax flaviventris","Passeriformes","Tyrannidae"
"YBSA","YBSA","YellowbelliedSapsucker","Yellow-bellied Sapsucker","Sphyrapicus varius","Piciformes","Picidae"
"YERA","YERA","YellowRail","Yellow Rail","Coturnicops noveboracensis","Gruiformes","Rallidae"
"YEWA","YEWA","YellowWarbler","Yellow Warbler","Setophaga petechia","Passeriformes","Parulidae"
"YHBL","YHBL","YellowheadedBlackbird","Yellow-headed Blackbird","Xanthocephalus xanthocephalus","Passeriformes","Icteridae"
"YRWA","YRWA","YellowrumpedWarbler","Yellow-rumped Warbler","Setophaga coronata","Passeriformes","Parulidae"
